JOINT,MEMBER,GRUP,TOP,TOP-LEFT,LEFT,BOT-LEFT,BOT,BOT-RIGHT,RIGHT,TOP-RIGHT,MAX_DAMAGE,CRITICAL_LOCATION,UNIQUE_KEY
103L,0026 J102,24B,0.000268059,0.000805752,0.000272024,7.56335e-07,7.31828e-06,8.36502e-07,0.000339647,0.000898575,0.000898575,TOP-RIGHT,103L_0026 J102_24B
402L,0077,J535,0.000234677,0.000188583,0.000254017,0.000700883,0.000897637,0.000441405,0.000152054,0.000170253,0.000897637,BOT,402L_0077_J535
0124,202L J258,12A,0.000146912,0.000784257,0.00083609,0.00011567,1.26722e-06,3.09939e-06,1.10852e-05,2.16089e-05,0.00083609,LEFT,0124_202L J258_12A
108L,0039 J135,24A,8.45675e-06,0.000319568,0.000740408,6.28739e-05,3.23594e-09,6.61868e-05,0.000784487,0.000337908,0.000784487,RIGHT,108L_0039 J135_24A
0109,0109 304L,24J,6.88032e-05,0.000113166,0.000511497,0.000224657,2.77987e-05,0.000170554,0.00075014,0.00052148,0.00075014,RIGHT,0109_0109 304L_24J
0108,0108 308L,24J,9.64783e-05,0.000626205,0.000687191,0.000148781,2.73101e-05,0.000200263,0.000410331,7.81859e-05,0.000687191,LEFT,0108_0108 308L_24J
202L,0579 203L,24B,4.9526e-07,4.15599e-05,0.000654502,0.000493848,4.48077e-05,0.000132718,6.43988e-05,5.15647e-07,0.000654502,LEFT,202L_0579 203L_24B
0103,102L J113,14A,5.94668e-10,3.94982e-05,0.000262269,9.13591e-05,1.13483e-05,0.000341226,0.000631383,4.31777e-05,0.000631383,RIGHT,0103_102L J113_14A
0586,0586 303L,51K,1.25907e-06,1.63906e-06,3.8623e-05,0.000131824,0.000126211,0.0005993,0.000439227,1.08419e-05,0.0005993,BOT-RIGHT,0586_0586 303L_51K
0124,202L J262,14A,5.99559e-09,4.01286e-06,1.48482e-05,1.52056e-05,0.000134929,0.000586501,0.00047498,3.78717e-05,0.000586501,BOT-RIGHT,0124_202L J262_14A
206L,0053 207L,24B,0.000108177,0.000443207,0.000476298,5.17148e-05,1.87108e-06,2.12709e-06,0.000320457,0.000565056,0.000565056,TOP-RIGHT,206L_0053 207L_24B
203L,0586 J236,18A,2.45822e-06,0.000135187,0.00055325,0.000131822,2.34918e-06,3.07926e-05,0.00011184,2.97358e-05,0.00055325,LEFT,203L_0586 J236_18A
0114,103L J114,14A,2.5579e-07,2.10745e-06,1.22774e-05,6.95943e-06,2.27215e-06,0.000138584,0.000510684,0.000103044,0.000510684,RIGHT,0114_103L J114_14A
502L,0077 J501,18A,2.61625e-05,6.25743e-05,8.51295e-05,1.6909e-05,2.04059e-06,4.40156e-05,0.00050274,0.000326736,0.00050274,RIGHT,502L_0077 J501_18A
506L,606L J569,18A,0.00012267,0.000199584,0.000377427,0.000103519,9.60675e-06,7.94053e-05,0.000488284,0.000438083,0.000488284,RIGHT,506L_606L J569_18A
102L,0025 J101,24A,4.15088e-05,7.4788e-05,0.00019564,0.000379464,0.000479084,0.000431245,0.000228945,8.18729e-05,0.000479084,BOT,102L_0025 J101_24A
501L,601L J505,12A,9.29517e-05,0.000359889,0.000461343,5.48263e-05,1.93596e-06,2.95175e-05,0.000249951,0.000226185,0.000461343,LEFT,501L_601L J505_12A
106L,0053 J132,24A,3.44175e-05,8.30223e-05,0.000249593,0.00045001,0.000435701,0.000303392,0.000148507,5.66415e-05,0.00045001,BOT-LEFT,106L_0053 J132_24A
302L,0579 303L,24B,7.11042e-05,0.000121884,0.000222758,6.9345e-05,5.12978e-06,3.48255e-05,0.000428073,0.000341034,0.000428073,RIGHT,302L_0579 303L_24B
0009,0009 908L,DL9,4.3538e-07,0.000103106,0.000416876,6.64073e-05,1.26563e-10,3.4446e-05,0.000232853,5.57303e-05,0.000416876,LEFT,0009_0009 908L_DL9
0579,0579 302L,51K,2.63036e-06,1.79827e-07,9.95398e-05,0.00039392,0.000229843,0.000367513,0.00010556,7.47792e-07,0.00039392,BOT-LEFT,0579_0579 302L_51K
0113,107L J123,14A,3.5614e-07,7.94268e-05,0.000362869,8.91035e-05,2.21695e-06,9.18831e-06,1.49585e-05,2.8416e-06,0.000362869,LEFT,0113_107L J123_14A
306L,0290 307L,24B,4.47764e-06,4.01898e-05,0.000318652,0.000311011,0.000185384,0.000321287,0.000356665,4.35194e-05,0.000356665,RIGHT,306L_0290 307L_24B
0008,0008 904L,DL9,3.27933e-07,5.08226e-05,0.000209777,3.08592e-05,6.4591e-11,4.94262e-05,0.000304433,7.33284e-05,0.000304433,RIGHT,0008_0008 904L_DL9
0097,105L J120,14A,1.742e-07,4.31718e-05,0.000247348,8.41454e-05,2.18648e-06,2.31338e-05,4.03552e-05,2.61433e-06,0.000247348,LEFT,0097_105L J120_14A
505L,605L J568,18A,8.88966e-05,5.28445e-05,7.1093e-05,2.17861e-05,2.09537e-06,2.68485e-05,0.000197946,0.000242968,0.000242968,TOP-RIGHT,505L_605L J568_18A
0008,904L 91ED,24S,7.79915e-05,0.000239861,0.000124937,2.16317e-06,3.69186e-07,1.29172e-06,2.37463e-05,7.24098e-05,0.000239861,TOP-LEFT,0008_904L 91ED_24S
502L,602L J510,12A,3.47134e-05,8.27074e-05,0.000170693,8.18942e-05,2.60303e-05,8.79699e-05,0.000237848,0.000122198,0.000237848,RIGHT,502L_602L J510_12A
0562,J546,405L,0.00022578,8.31255e-05,9.1102e-06,7.59015e-06,1.54647e-05,9.94211e-06,2.72142e-05,0.000141984,0.00022578,TOP,0562_J546_405L
507P,507P-607L,PI6,6.87485e-05,0.000189866,0.000224166,6.13362e-05,2.54086e-05,6.47929e-05,0.000168874,0.000129601,0.000224166,LEFT,507P_507P-607L_PI6
0592,0592 J369,24B,0.000194046,6.45013e-05,1.30925e-05,2.19261e-06,1.36915e-06,1.18688e-05,8.44236e-05,0.000223279,0.000223279,TOP-RIGHT,0592_0592 J369_24B
501L,601L J501,18A,0.000122835,0.000191491,0.000127707,1.5097e-05,2.43847e-06,4.98773e-05,0.000222547,0.000165838,0.000222547,RIGHT,501L_601L J501_18A
0009,908L 93FD,24B,5.95294e-07,6.06758e-05,0.000219953,3.39643e-05,6.60785e-11,1.90132e-05,0.000133616,3.53224e-05,0.000219953,LEFT,0009_908L 93FD_24B
107L,0052 J134,24A,5.67612e-06,5.92193e-05,0.000207003,0.00021586,8.91074e-05,4.01095e-05,2.35756e-05,5.73483e-06,0.00021586,BOT-LEFT,107L_0052 J134_24A
505L,605L J560,12A,6.93788e-05,0.000126856,0.000129025,1.98467e-05,1.95681e-06,2.86585e-05,0.000209887,0.000194069,0.000209887,RIGHT,505L_605L J560_12A
0111,0111 J115,30A,5.64626e-07,1.39071e-05,0.000207372,0.000159408,1.25675e-05,1.51436e-05,4.09097e-05,1.4805e-05,0.000207372,LEFT,0111_0111 J115_30A
0562,J524,401L,0.000184764,0.000114315,2.38882e-05,9.76082e-06,1.41478e-05,8.7108e-06,1.04788e-05,7.14768e-05,0.000184764,TOP,0562_J524_401L
0584,0584 J235,24B,0.00018134,0.0001436,4.75021e-05,8.11089e-06,1.25169e-06,2.47303e-06,1.63175e-05,7.90112e-05,0.00018134,TOP,0584_0584 J235_24B
207L,0052 206L,24B,5.56913e-07,4.78598e-06,5.00646e-05,0.000166384,0.00017857,8.39984e-05,2.59798e-05,4.78702e-06,0.00017857,BOT,207L_0052 206L_24B
506L,606L J565,12A,4.02878e-05,0.000111123,0.000178451,7.31999e-05,2.98713e-05,7.76229e-05,0.000139085,7.5267e-05,0.000178451,LEFT,506L_606L J565_12A
502P,502P-602L,PI6,8.82478e-06,3.43457e-05,0.000161249,8.3946e-05,8.75694e-06,3.66837e-05,0.000167123,8.77327e-05,0.000167123,RIGHT,502P_502P-602L_PI6
0100,0100 508L,16A,2.4754e-05,9.28655e-05,0.000163846,3.62261e-05,5.33922e-06,4.03332e-05,0.000132489,7.09776e-05,0.000163846,LEFT,0100_0100 508L_16A
0008,904L 92FD,24B,4.54275e-07,3.21925e-05,0.000119372,1.6784e-05,5.71134e-11,2.62531e-05,0.000163809,4.33615e-05,0.000163809,RIGHT,0008_904L 92FD_24B
203L,0586 202L,24B,0.000102122,0.000148737,4.80402e-05,2.75444e-06,4.01856e-07,2.54911e-06,5.26219e-06,2.06378e-05,0.000148737,TOP-LEFT,203L_0586 202L_24B
103L,0026 J103,24A,5.63484e-06,1.53827e-05,6.2981e-05,9.78429e-05,0.000107689,0.000144108,0.000118894,3.39909e-05,0.000144108,BOT-RIGHT,103L_0026 J103_24A
0074,0074 J124,30A,1.79016e-06,4.34373e-05,9.25899e-05,2.39942e-05,1.1955e-05,0.000115903,0.000141695,1.00221e-05,0.000141695,RIGHT,0074_0074 J124_30A
506L,606L J568,18A,2.09515e-06,9.53663e-06,3.5946e-05,3.59766e-05,2.59537e-05,0.000140458,0.000121672,8.00144e-06,0.000140458,BOT-RIGHT,506L_606L J568_18A
0098,0075 J132,14A,5.79492e-06,1.56735e-05,1.58286e-05,5.63665e-07,1.60238e-07,2.52191e-05,0.000131191,5.71709e-05,0.000131191,RIGHT,0098_0075 J132_14A
0102,101L J111,14A,1.19251e-07,7.02491e-06,0.000110987,5.77565e-05,2.18445e-06,5.09605e-05,0.000129969,2.04216e-05,0.000129969,RIGHT,0102_101L J111_14A
106P,106P-206P,PI2,6.09106e-08,2.78935e-05,0.000127495,2.41799e-05,3.5054e-08,8.65712e-07,4.0114e-06,9.38158e-07,0.000127495,LEFT,106P_106P-206P_PI2
